2016,2016{96441ACD-EBF0-4355-9A6C-634FA4B4D4A5},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2018,2018a,{936DA4FF-CA28-4EFE-839C-0FE1F11F6C53},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2018,2018b,{437FE330-1798-4A96-8BEE-388D7DDED9EC},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2019,2019,{19A923B0-A305-41D2-A001-84865587FF03},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2020,2020,{D344F921-1999-4FE5-A3D7-BC87211DDFEF},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2021,2021,{D6051B85-FDAA-4A9F-AD47-E1D54897CEF5},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2022,2.5.0,{5B2AA702-93C9-41D8-924E-5EDB646BD50F},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2023,5.0.569,{1DC4C729-D48C-493E-887A-34BF10EE3128},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2023,5.1.0,{95FCC227-0BE6-4FE7-9832-992769641C4D},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2023,5.2.2,{29E46A31-A0A6-4E2A-91F5-B5F8248B4716},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%20 ?
2024,5.6.15,{8A4846B5-DF7E-442F-992E-60FE5228D31A},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%205.6.15.msi
2024,5.8.19,{74C4ACE7-0DEC-44FB-B366-C4573FB80D52},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%205.8.19.msi
2025,5.9.2,{3090BF31-F857-466E-9A75-9DBA6E506B83},https://pages.assessform.edu.au/uploads/files/Release/NAP%20Locked%20down%20browser%20-%20Release%20-%205.9.2.msi
